Age,Gender,Race,Prior_Offenses,Risk_Score,re-offend,Employment_Status,Location,Family_Background
47,1,0,0,0.486610044,0,Employed,Urban,No Criminal Background
24,0,2,2,1,0,Employed,Rural,No Criminal Background
50,0,1,1,1,0,Employed,Rural,No Criminal Background
24,0,0,2,0.121661927,1,Student,Urban,No Criminal Background
41,0,1,1,0.323413506,1,Student,Rural,Criminal Background
28,1,2,3,1,0,Part-Time,Urban,No Criminal Background
26,1,3,3,0.762788831,0,Student,Rural,Criminal Background
29,1,1,3,1,0,Part-Time,Urban,Criminal Background
52,0,1,3,0.441206846,0,Employed,Urban,Criminal Background
21,1,3,3,0.74186686,0,Part-Time,Urban,Criminal Background
53,1,2,4,0.714002709,0,Part-Time,Urban,No Criminal Background
45,1,1,2,0.388990781,1,Student,Urban,No Criminal Background
30,0,2,1,0.605897958,0,Employed,Urban,No Criminal Background
40,1,2,3,0.757603747,1,Unemployed,Rural,Criminal Background
36,1,2,4,0.505188401,0,Student,Rural,Criminal Background
59,0,3,4,0.909896577,0,Student,Urban,Criminal Background
54,0,2,4,1,0,Unemployed,Rural,No Criminal Background
56,0,2,2,0.935660603,0,Employed,Urban,No Criminal Background
41,0,0,3,1,0,Unemployed,Rural,No Criminal Background
33,0,0,4,0.563736416,0,Part-Time,Rural,No Criminal Background
50,0,0,4,0.482519447,0,Unemployed,Urban,No Criminal Background
29,1,1,3,0.99765154,1,Employed,Urban,No Criminal Background
51,1,1,2,0.617653838,0,Employed,Rural,Criminal Background
24,0,0,4,0.32724281,1,Unemployed,Rural,Criminal Background
28,0,3,1,0.58598178,0,Student,Rural,No Criminal Background
48,1,3,0,0.17128366,0,Unemployed,Rural,Criminal Background
46,0,0,0,0.798832062,0,Part-Time,Rural,No Criminal Background
30,0,1,0,0.535424931,1,Unemployed,Rural,Criminal Background
48,1,1,2,0.395680056,0,Unemployed,Urban,No Criminal Background
19,0,3,4,1,0,Unemployed,Rural,No Criminal Background
56,0,2,0,0.940026005,0,Part-Time,Urban,No Criminal Background
32,1,3,0,0.950386425,0,Unemployed,Rural,Criminal Background
28,1,2,3,0.623721969,1,Student,Urban,No Criminal Background
51,1,1,4,1,0,Part-Time,Urban,Criminal Background
56,1,1,4,0.910994977,0,Student,Urban,No Criminal Background
21,1,0,3,0.598773704,1,Part-Time,Urban,Criminal Background
28,0,1,4,1,0,Employed,Rural,Criminal Background
46,0,2,1,0.210754445,0,Employed,Urban,No Criminal Background
19,0,3,2,1,0,Part-Time,Urban,No Criminal Background
33,0,0,3,0.463661077,1,Part-Time,Rural,No Criminal Background
56,0,2,0,0.610300826,1,Part-Time,Rural,Criminal Background
30,1,3,4,0.128876286,0,Employed,Rural,No Criminal Background
54,0,3,1,0.594118183,1,Part-Time,Urban,No Criminal Background
34,0,3,1,0.776538178,0,Employed,Rural,Criminal Background
38,0,1,2,1,0,Employed,Urban,Criminal Background
61,0,3,1,1,0,Part-Time,Urban,Criminal Background
36,0,1,4,1,0,Part-Time,Urban,No Criminal Background
24,1,3,4,0.402388209,0,Part-Time,Rural,No Criminal Background
55,0,3,1,1,1,Employed,Urban,No Criminal Background
25,0,1,4,0.691415834,0,Unemployed,Urban,No Criminal Background
30,0,1,4,1,1,Part-Time,Urban,Criminal Background
54,0,2,0,0.316059699,0,Unemployed,Rural,Criminal Background
19,0,3,3,0.671872921,0,Unemployed,Rural,Criminal Background
58,0,1,4,1,0,Unemployed,Urban,No Criminal Background
28,1,2,4,0.947031397,0,Student,Urban,Criminal Background
41,0,2,2,0.86492462,1,Unemployed,Urban,No Criminal Background
23,1,1,3,1,0,Unemployed,Urban,Criminal Background
43,1,3,3,0.203772835,1,Employed,Rural,Criminal Background
24,0,2,3,0.873206845,1,Student,Urban,No Criminal Background
56,0,3,1,0.713848684,0,Employed,Rural,Criminal Background
36,0,3,0,0.1107776,0,Employed,Urban,Criminal Background
23,1,2,0,0.130132858,0,Unemployed,Urban,No Criminal Background
60,0,1,2,0.150302854,0,Employed,Rural,Criminal Background
46,0,3,3,0.796792628,0,Part-Time,Urban,No Criminal Background
60,0,0,3,0.179269738,0,Unemployed,Urban,Criminal Background
56,1,1,4,0.589342662,0,Part-Time,Rural,Criminal Background
19,1,2,1,0.410529077,1,Unemployed,Urban,No Criminal Background
36,0,0,1,0.731207125,0,Unemployed,Rural,No Criminal Background
21,1,3,2,0.938377394,0,Unemployed,Rural,No Criminal Background
23,0,1,0,0.903833749,0,Student,Urban,Criminal Background
66,1,0,3,0.622490298,1,Unemployed,Rural,Criminal Background
54,0,1,2,0.643568135,0,Part-Time,Rural,No Criminal Background
45,1,3,1,0.503236728,0,Unemployed,Urban,No Criminal Background
47,0,1,1,1,1,Unemployed,Urban,No Criminal Background
24,0,0,1,0.400330684,1,Employed,Urban,No Criminal Background
26,1,1,3,0.375821075,1,Unemployed,Rural,Criminal Background
42,1,2,3,0.854812818,0,Unemployed,Urban,Criminal Background
50,1,2,3,0.43441438,1,Unemployed,Rural,No Criminal Background
18,1,0,4,0.97404839,0,Unemployed,Urban,No Criminal Background
68,1,1,0,0.452486432,1,Unemployed,Urban,Criminal Background
23,0,0,1,0.976756223,0,Unemployed,Urban,Criminal Background
35,0,1,1,0.062521083,1,Student,Rural,Criminal Background
27,1,3,4,0.404841024,1,Part-Time,Rural,Criminal Background
45,0,2,1,0.396430852,0,Student,Rural,Criminal Background
28,0,3,1,0.898346613,1,Part-Time,Urban,Criminal Background
50,1,1,3,1,0,Student,Urban,No Criminal Background
18,0,3,3,0.583014815,0,Unemployed,Urban,No Criminal Background
30,0,0,0,0.907319905,0,Student,Urban,Criminal Background
54,1,0,1,0.699694701,1,Part-Time,Urban,No Criminal Background
37,1,1,2,1,0,Employed,Urban,No Criminal Background
18,0,2,1,0.892219366,0,Employed,Urban,Criminal Background
69,1,0,1,0.093554765,0,Unemployed,Rural,Criminal Background
20,0,2,0,0.902301379,1,Unemployed,Urban,No Criminal Background
35,1,1,2,0.642599659,1,Part-Time,Urban,Criminal Background
58,1,2,1,0.017257861,0,Employed,Rural,Criminal Background
31,1,1,2,0.346811883,0,Unemployed,Urban,No Criminal Background
48,1,3,3,0.921755245,0,Student,Urban,No Criminal Background
44,0,1,3,1,0,Student,Rural,No Criminal Background
34,1,3,2,0.79885046,0,Employed,Urban,Criminal Background
63,1,1,1,1,0,Part-Time,Rural,No Criminal Background
46,0,0,2,1,1,Unemployed,Urban,Criminal Background
53,0,0,2,0.013553712,0,Unemployed,Rural,Criminal Background
54,0,2,3,0.36411044,0,Unemployed,Urban,No Criminal Background
43,0,1,2,0.042445117,0,Employed,Rural,No Criminal Background
34,1,1,4,0.112929562,0,Student,Urban,Criminal Background
39,0,1,4,0.303313372,0,Part-Time,Rural,Criminal Background
42,1,2,3,0.503558546,0,Employed,Urban,Criminal Background
19,0,0,1,0.932285204,1,Employed,Urban,Criminal Background
39,1,1,1,1,0,Unemployed,Urban,No Criminal Background
22,0,2,3,0.711713147,0,Student,Rural,No Criminal Background
21,1,1,1,1,1,Part-Time,Rural,No Criminal Background
53,1,3,0,0.500062327,1,Part-Time,Urban,No Criminal Background
23,0,1,4,1,1,Unemployed,Urban,Criminal Background
69,1,3,0,0.476768519,1,Part-Time,Rural,Criminal Background
38,1,2,0,0.291086258,1,Student,Rural,No Criminal Background
30,1,2,0,1,0,Unemployed,Rural,No Criminal Background
54,1,0,3,0.468431604,1,Unemployed,Rural,Criminal Background
42,0,1,0,0.767489904,0,Student,Rural,Criminal Background
43,1,2,2,0.345303664,0,Part-Time,Rural,Criminal Background
56,1,0,1,0.6628376,0,Student,Urban,No Criminal Background
37,0,1,3,1,0,Part-Time,Urban,No Criminal Background
50,0,2,2,0.028064904,0,Part-Time,Urban,Criminal Background
31,0,3,2,1,0,Part-Time,Rural,No Criminal Background
53,1,2,4,0.00412236,0,Student,Rural,Criminal Background
34,1,3,4,0.364227881,1,Student,Urban,No Criminal Background
38,0,0,2,0.204014236,1,Employed,Urban,Criminal Background
63,1,0,4,0.79520887,0,Student,Rural,No Criminal Background
33,0,1,1,0.084509982,1,Unemployed,Urban,Criminal Background
63,1,1,1,0.84019016,0,Unemployed,Urban,No Criminal Background
33,0,1,4,0.517091041,1,Unemployed,Rural,Criminal Background
37,1,0,0,0.169092865,0,Unemployed,Urban,Criminal Background
46,0,3,2,0.933900037,0,Employed,Urban,Criminal Background
45,1,1,1,0.301339732,0,Student,Rural,Criminal Background
25,0,1,4,0.310013844,0,Student,Rural,No Criminal Background
41,1,0,4,0.317713687,0,Part-Time,Rural,Criminal Background
20,1,3,1,0.677715612,0,Student,Rural,Criminal Background
42,1,2,1,0.659665932,0,Part-Time,Urban,Criminal Background
36,0,1,0,0.025558864,0,Part-Time,Urban,No Criminal Background
50,1,2,4,0.321263344,0,Unemployed,Rural,Criminal Background
19,1,2,4,0.452519385,1,Employed,Rural,No Criminal Background
32,1,1,3,0.41829096,0,Employed,Rural,Criminal Background
39,0,0,0,0.972587724,0,Student,Urban,Criminal Background
27,1,1,1,0.945250477,0,Part-Time,Urban,Criminal Background
35,0,3,1,0.870926235,1,Unemployed,Urban,Criminal Background
39,1,3,2,0.39043899,0,Part-Time,Rural,No Criminal Background
63,0,1,1,1,1,Unemployed,Rural,No Criminal Background
66,0,2,4,0.928001814,0,Part-Time,Urban,Criminal Background
44,1,3,1,0.594830377,0,Student,Urban,Criminal Background
30,0,3,4,0.996658294,0,Student,Rural,Criminal Background
50,0,1,4,1,0,Part-Time,Rural,No Criminal Background
22,1,1,0,0.720389012,0,Employed,Rural,Criminal Background
43,0,0,1,0.414657358,0,Unemployed,Rural,No Criminal Background
30,0,1,0,1,0,Employed,Rural,No Criminal Background
44,0,1,4,0.286619764,1,Employed,Rural,Criminal Background
31,0,3,1,0.90030904,0,Part-Time,Rural,No Criminal Background
41,1,3,1,0.971490131,0,Unemployed,Rural,Criminal Background
20,0,3,0,1,0,Unemployed,Urban,No Criminal Background
64,0,2,0,0.520207568,0,Student,Urban,Criminal Background
68,1,3,4,0.192480768,0,Part-Time,Urban,Criminal Background
66,1,3,4,0.115180758,1,Part-Time,Rural,Criminal Background
47,0,1,1,0.981236851,1,Part-Time,Urban,Criminal Background
52,1,0,1,0.886261385,0,Student,Urban,Criminal Background
65,1,3,3,0.715922195,1,Student,Urban,Criminal Background
31,1,0,3,0.174073273,0,Unemployed,Rural,No Criminal Background
29,1,3,2,0.981641271,0,Student,Rural,No Criminal Background
45,1,3,4,1,0,Part-Time,Rural,No Criminal Background
61,1,0,2,0.476716471,0,Part-Time,Urban,Criminal Background
46,1,1,2,0.713790347,0,Employed,Urban,Criminal Background
60,1,3,0,0.816089946,0,Student,Rural,Criminal Background
34,1,0,0,0.73638979,0,Part-Time,Urban,Criminal Background
57,0,3,3,1,1,Part-Time,Urban,Criminal Background
66,0,2,2,0.152593466,0,Unemployed,Rural,Criminal Background
38,0,2,3,0.67073722,1,Student,Rural,No Criminal Background
40,0,2,4,0.79918079,0,Part-Time,Rural,Criminal Background
37,0,2,1,1,0,Unemployed,Rural,Criminal Background
28,1,1,0,1,1,Employed,Rural,Criminal Background
51,1,2,4,1,0,Employed,Rural,Criminal Background
27,0,0,4,0.680168206,0,Unemployed,Rural,Criminal Background
27,0,3,0,0.959528801,0,Student,Rural,No Criminal Background
60,1,0,0,0.448645794,0,Part-Time,Rural,Criminal Background
23,0,2,2,0.487772529,0,Student,Rural,Criminal Background
53,1,1,3,0.36710178,0,Unemployed,Rural,No Criminal Background
41,0,2,4,0.945064067,1,Part-Time,Rural,No Criminal Background
29,1,2,2,1,0,Part-Time,Urban,Criminal Background
60,0,1,2,0.355289635,0,Part-Time,Rural,No Criminal Background
40,1,1,4,0.067357906,0,Student,Urban,No Criminal Background
44,0,1,4,1,0,Student,Urban,Criminal Background
62,0,1,1,0.94150922,0,Unemployed,Urban,No Criminal Background
54,1,1,3,1,0,Employed,Rural,Criminal Background
23,1,1,4,0.365494628,0,Unemployed,Rural,No Criminal Background
18,0,3,0,0.082036945,1,Part-Time,Rural,Criminal Background
23,0,2,1,0.719495076,0,Unemployed,Rural,Criminal Background
67,1,2,3,0.085466023,1,Employed,Urban,No Criminal Background
39,1,1,0,0.361270202,0,Unemployed,Urban,No Criminal Background
58,1,0,0,0.132276754,0,Employed,Rural,Criminal Background
41,0,1,3,0.341711921,0,Employed,Rural,Criminal Background
42,0,3,1,0.122597074,1,Part-Time,Rural,No Criminal Background
32,1,0,0,1,0,Employed,Rural,Criminal Background
43,0,3,2,0.337060883,1,Student,Urban,No Criminal Background
25,0,0,3,0.648567665,1,Unemployed,Rural,No Criminal Background
68,1,0,3,1,1,Unemployed,Urban,No Criminal Background
41,0,1,4,0.938767721,0,Student,Rural,Criminal Background
65,1,3,1,0.648939355,1,Student,Rural,Criminal Background
55,1,0,2,0.74084135,1,Part-Time,Rural,No Criminal Background
23,0,3,2,1,0,Unemployed,Rural,No Criminal Background
52,0,1,4,1,1,Student,Rural,Criminal Background
59,1,1,0,0.890698584,1,Part-Time,Rural,Criminal Background
18,1,1,0,1,0,Unemployed,Urban,Criminal Background
63,1,1,2,0.738848588,0,Unemployed,Urban,No Criminal Background
53,0,2,1,0.320270939,0,Student,Rural,No Criminal Background
29,1,0,0,0.880076709,0,Employed,Urban,Criminal Background
55,1,2,3,0.625401116,0,Employed,Rural,No Criminal Background
28,1,1,4,1,0,Student,Urban,No Criminal Background
29,1,0,1,0.042176205,0,Employed,Rural,Criminal Background
59,0,0,0,0.502857426,0,Unemployed,Urban,No Criminal Background
67,0,3,2,1,1,Part-Time,Rural,Criminal Background
56,1,1,4,0.299580111,0,Part-Time,Urban,Criminal Background
24,0,2,0,1,1,Student,Urban,Criminal Background
28,0,3,2,1,0,Part-Time,Rural,Criminal Background
53,0,0,0,1,1,Student,Rural,No Criminal Background
69,1,2,4,0.591851447,1,Employed,Rural,Criminal Background
48,0,1,3,1,0,Unemployed,Rural,Criminal Background
50,0,2,3,1,0,Employed,Rural,Criminal Background
30,1,2,2,0.775897082,0,Student,Urban,No Criminal Background
35,1,2,3,0.760838323,1,Unemployed,Rural,No Criminal Background
58,0,3,4,1,1,Unemployed,Rural,No Criminal Background
41,0,0,2,0.867380945,0,Unemployed,Urban,No Criminal Background
26,1,2,0,0.975481992,0,Employed,Urban,Criminal Background
48,1,0,1,0.065996746,0,Unemployed,Urban,No Criminal Background
58,1,3,0,0.160499228,0,Employed,Rural,No Criminal Background
27,1,1,4,0.568838146,1,Employed,Rural,No Criminal Background
19,0,1,2,0.584247022,0,Unemployed,Urban,Criminal Background
55,1,2,0,0.861008325,1,Student,Urban,Criminal Background
32,0,3,2,0.234669139,1,Unemployed,Rural,Criminal Background
20,0,1,3,1,1,Unemployed,Urban,Criminal Background
60,0,3,1,0.363901086,0,Employed,Rural,No Criminal Background
48,1,3,4,0.493262264,0,Unemployed,Urban,No Criminal Background
23,1,2,0,0.274745032,0,Student,Urban,No Criminal Background
20,0,2,1,0.769539725,1,Unemployed,Rural,No Criminal Background
28,0,3,4,0.06449157,0,Student,Urban,No Criminal Background
32,0,3,4,0.164645256,0,Part-Time,Urban,Criminal Background
62,0,2,3,0.947535982,1,Part-Time,Rural,No Criminal Background
69,0,3,2,0.236948991,0,Part-Time,Rural,Criminal Background
45,1,2,2,0.270841619,0,Unemployed,Urban,Criminal Background
27,1,0,1,0.832631348,0,Employed,Rural,Criminal Background
55,1,3,3,0.097966237,0,Student,Rural,No Criminal Background
64,0,2,4,0.505282265,0,Part-Time,Rural,No Criminal Background
67,0,3,3,0.025369726,0,Student,Urban,Criminal Background
67,1,2,3,0.346807399,1,Employed,Urban,No Criminal Background
24,1,3,1,0.698981403,1,Student,Urban,No Criminal Background
32,0,1,2,0.118936329,0,Student,Urban,No Criminal Background
35,1,1,3,1,1,Part-Time,Urban,No Criminal Background
35,1,3,3,0.909499043,0,Student,Urban,Criminal Background
69,1,1,3,0.12598845,0,Part-Time,Urban,No Criminal Background
58,0,3,0,1,1,Employed,Rural,No Criminal Background
41,0,3,3,0.343646634,0,Part-Time,Rural,No Criminal Background
19,1,0,3,0.084101671,0,Student,Urban,Criminal Background
57,0,0,4,0.005573826,0,Employed,Urban,Criminal Background
37,1,1,0,0.591949676,0,Unemployed,Rural,No Criminal Background
51,1,0,3,0.724281484,0,Unemployed,Urban,No Criminal Background
60,0,0,3,0.365397175,1,Employed,Urban,No Criminal Background
43,0,3,1,0.920389102,0,Employed,Urban,No Criminal Background
24,0,2,1,0.827680248,1,Student,Rural,Criminal Background
55,1,3,0,0.42282005,0,Unemployed,Rural,Criminal Background
47,1,0,4,0.77102515,0,Employed,Rural,Criminal Background
59,1,3,0,1,0,Unemployed,Urban,Criminal Background
22,0,1,0,0.148385712,0,Unemployed,Rural,Criminal Background
28,1,2,1,0.321409158,1,Student,Rural,Criminal Background
18,1,0,1,0.509658533,0,Employed,Urban,No Criminal Background
51,1,0,4,0.547789141,0,Part-Time,Urban,Criminal Background
18,1,3,3,0.542195645,0,Employed,Urban,Criminal Background
36,0,3,4,0.380293037,0,Unemployed,Urban,Criminal Background
19,0,3,3,0.770684891,0,Part-Time,Rural,No Criminal Background
38,0,3,2,0.745072602,0,Part-Time,Rural,Criminal Background
37,1,0,1,0.664494732,0,Unemployed,Urban,Criminal Background
40,1,3,2,0.113761722,0,Part-Time,Urban,Criminal Background
38,1,0,2,0.476967891,1,Part-Time,Urban,Criminal Background
41,0,3,1,0.431034534,0,Employed,Urban,No Criminal Background
21,0,2,2,0.621163664,1,Unemployed,Urban,No Criminal Background
29,0,2,0,1,0,Student,Rural,No Criminal Background
39,0,3,3,0.528584477,0,Part-Time,Urban,Criminal Background
37,0,3,4,0.018569987,0,Unemployed,Rural,No Criminal Background
35,1,1,1,0.526604086,0,Employed,Urban,No Criminal Background
18,0,2,0,0.947848648,0,Employed,Rural,No Criminal Background
47,0,0,4,0.943873717,0,Employed,Urban,No Criminal Background
50,0,2,4,0.564729081,0,Part-Time,Urban,No Criminal Background
41,1,0,4,0.28848321,1,Student,Rural,Criminal Background
31,0,3,2,0.590895146,1,Employed,Rural,Criminal Background
53,0,2,2,0.651076063,1,Student,Rural,Criminal Background
22,0,2,2,1,0,Unemployed,Rural,Criminal Background
28,1,1,2,0.811664394,0,Employed,Rural,Criminal Background
41,1,1,0,0.962251193,0,Part-Time,Rural,Criminal Background
48,0,2,2,0.567629536,0,Employed,Rural,No Criminal Background
30,0,2,1,0.409435431,0,Part-Time,Rural,No Criminal Background
33,0,2,4,1,0,Unemployed,Urban,Criminal Background
41,0,0,0,0.598868112,0,Student,Urban,Criminal Background
30,1,3,2,1,1,Student,Urban,Criminal Background
41,0,1,4,0.633569116,1,Student,Rural,Criminal Background
43,1,3,0,0.071400298,0,Employed,Rural,No Criminal Background
19,0,1,4,0.991103455,0,Employed,Urban,No Criminal Background
33,1,1,0,0.074341809,1,Unemployed,Rural,Criminal Background
55,1,1,3,0.300601916,0,Student,Urban,Criminal Background
63,0,2,0,0.469852834,0,Unemployed,Rural,Criminal Background
18,1,1,2,0.931749318,0,Part-Time,Rural,Criminal Background
66,0,3,4,0.570842495,0,Employed,Rural,Criminal Background
28,1,1,4,0.036093873,0,Student,Rural,Criminal Background
68,1,3,4,0.678534836,1,Employed,Urban,No Criminal Background
52,0,1,1,0.597405417,0,Student,Urban,No Criminal Background
60,0,1,1,1,0,Student,Urban,No Criminal Background
46,1,2,2,0.524540427,0,Employed,Rural,No Criminal Background
54,1,3,3,0.708975146,1,Employed,Urban,Criminal Background
34,0,1,1,0.332242371,0,Unemployed,Urban,No Criminal Background
56,0,1,0,1,0,Employed,Urban,No Criminal Background
59,0,3,2,0.872355926,0,Employed,Urban,Criminal Background
45,1,1,3,1,0,Employed,Urban,No Criminal Background
46,0,0,0,0.040924186,0,Part-Time,Urban,No Criminal Background
60,0,2,4,0.568549636,0,Part-Time,Rural,No Criminal Background
20,1,3,1,0.78442449,1,Part-Time,Rural,Criminal Background
69,0,2,0,0.12640145,1,Unemployed,Rural,Criminal Background
27,0,0,3,0.545384852,0,Unemployed,Rural,Criminal Background
59,0,0,2,1,0,Student,Urban,Criminal Background
31,0,0,0,0.551457131,0,Unemployed,Urban,No Criminal Background
29,1,3,2,1,1,Employed,Rural,Criminal Background
64,0,0,4,0.062522967,0,Student,Urban,Criminal Background
59,0,3,3,0.789612754,1,Employed,Urban,Criminal Background
47,0,3,3,0.63911786,0,Student,Urban,No Criminal Background
49,0,1,1,0.797810191,1,Unemployed,Rural,No Criminal Background
49,0,3,3,1,1,Part-Time,Urban,No Criminal Background
59,0,0,0,0.149746213,1,Employed,Rural,No Criminal Background
49,1,3,0,0.940798899,0,Student,Rural,Criminal Background
43,1,3,0,0.691240411,0,Part-Time,Urban,No Criminal Background
68,1,2,4,0.271945877,0,Employed,Rural,Criminal Background
